ABW,I m m a (# 74)
ACO,I m -3 m (# 229)
AEI,C m c m (# 63)
AEL,I m m a (# 74)
AEN,C m c e (# )
AET,C m c m (# 63)
AFG,P 6_3/m m c (# 194)
AFI,P 6/m c c (# 192)
AFN,C 1 2/m 1 (# 12)
AFO,C m c m (# 63)
AFR,P m m n (# 59)
AFS,P 6_3/m c m (# 193)
AFT,P 6_3/m m c (# 194)
AFV,P -3 m 1 (# 164)
AFX,P 6_3/m m c (# 194)
AFY,P -3 1 m (# 162)
AHT,C m c m (# 63)
ANA,I a -3 d (# 230)
APC,C m c e (# )
APD,C m c e (# )
AST,F m -3 m (# 225)
ASV,P 4/m c c (# 124)
ATN,I 4/m m m (# 139)
ATO,R -3 m (# 166)
ATS,C m c m (# 63)
ATT,P m m a (# 51)
ATV,C m m e (# )
AVL,P -3 m 1 (# 164)
AWO,C m c e (# )
AWW,P 4/n m m (# 129)
BCT,I 4/m m m (# 139)
BEA,P 4_1 2 2 (# 91)
BEC,P 4_2/m m c (# 131)
BIK,C m c m (# 63)
BOF,P n m a (# 62)
BOG,I m m a (# 74)
BOZ,C m c m (# 63)
BPH,P -6 2 m (# 189)
BRE,P 1 2_1/m 1 (# 11)
BSV,I a -3 d (# 230)
CAN,P 6_3/m m c (# 194)
CAS,C m c m (# 63)
CDO,C m c m (# 63)
CFI,I m m a (# 74)
CGF,C 1 2/m 1 (# 12)
CGS,P n m a (# 62)
CHA,R -3 m (# 166)
CHI,P b c n (# 60)
CLO,P m -3 m (# 221)
CON,C 1 2/m 1 (# 12)
CSV,P -1 (# 2)
CTH,C m c m (# 63)
CZP,P 6_1 2 2 (# 178)
DAC,C 1 2/m 1 (# 12)
DDR,R -3 m (# 166)
DFO,P 6/m m m (# 191)
DFT,P 4_2/m m c (# 131)
DOH,P 6/m m m (# 191)
DON,C m c m (# 63)
EAB,P 6_3/m m c (# 194)
EDI,P -4 m 2 (# 115)
EEI,F m m m (# 69)
EMT,P 6_3/m m c (# 194)
EON,P m m n (# 59)
EPI,C 1 2/m 1 (# 12)
ERI,P 6_3/m m c (# 194)
ESV,P n m a (# 62)
ETL,C m c m (# 63)
ETR,P 6_3 m c (# 186)
EUO,C m m e (# )
EWS,C m c a (# 64)
EWT,P 3 1 c (# 159)
EZT,I m m a (# 74)
FAR,P 6_3/m m c (# 194)
FAU,F d -3 m (# 227)
FER,I m m m (# 71)
FRA,P -3 m 1 (# 164)
GIS,I 4_1/a m d (# 141)
GIU,P 6_3/m m c (# 194)
GME,P 6_3/m m c (# 194)
GON,C m m m (# 65)
GOO,C 2 2 2_1 (# 20)
HEU,C 1 2/m 1 (# 12)
IFO,P n n m (# 58)
IFR,C 1 2/m 1 (# 12)
IFT,C m c m (# 63)
IFU,I m m m (# 71)
IFW,C 1 2/m 1 (# 12)
IFY,P 4/m b m (# 127)
IHW,C m c e (# )
IMF,C m c m (# 63)
IRN,I m m m (# 71)
IRR,P 6/m m m (# 191)
IRY,P 6_3/m m c (# 194)
ISV,P 4_2/m m c (# 131)
ITE,C m c m (# 63)
ITG,P 1 2/m 1 (# 10)
ITH,A m m 2 (# 38)
ITN,P -1 (# 2)
ITR,C m c m (# 63)
ITT,P 6/m m m (# 191)
ITV,P 4_1 3 2 (# 213)
ITW,C 1 2/m 1 (# 12)
IWR,C m m m (# 65)
IWS,I 4/m m m (# 139)
IWV,F m m m (# 69)
IWW,P b a m (# 55)
JBW,P m m a (# 51)
JNT,P 1 2_1/c 1 (# 14)
JOZ,P b c m (# 57)
JRY,I 2_1 2_1 2_1 (# 24)
JSN,P 1 2/c 1 (# 13)
JSR,P a -3 (# 205)
JST,P a -3 (# 205)
JSW,P b c a (# 61)
KFI,I m -3 m (# 229)
LAU,C 1 2/m 1 (# 12)
LEV,R -3 m (# 166)
LIO,P -6 m 2 (# 187)
LIT,P n m a (# 62)
LOS,P 6_3/m m c (# 194)
LOV,P 4_2/m m c (# 131)
LTA,P m -3 m (# 221)
LTF,P 6_3/m m c (# 194)
LTJ,P 4_1 2_1 2 (# 92)
LTL,P 6/m m m (# 191)
LTN,F d -3 m (# 227)
MAR,P 6_3/m m c (# 194)
MAZ,P 6_3/m m c (# 194)
MEI,P 6_3/m (# 176)
MEL,I -4 m 2 (# 119)
MEP,P m -3 n (# 223)
MER,I 4/m m m (# 139)
MFI,P n m a (# 62)
MFS,I m m 2 (# 44)
MON,I 4_1/a m d (# 141)
MOR,C m c m (# 63)
MOZ,P 6/m m m (# 191)
MRE,I m m a (# 74)
MRT,P m m a (# 51)
MSE,P 4_2/m n m (# 136)
MSO,R -3 m (# 166)
MTF,C 1 2/m 1 (# 12)
MTN,F d -3 m (# 227)
MTT,P m m n (# 59)
MTW,C 1 2/m 1 (# 12)
MVY,P n n m (# 58)
MWF,I m -3 m (# 229)
MWW,P 6/m m m (# 191)
NAB,I -4 m 2 (# 119)
NAT,I 4_1/a m d (# 141)
NES,F m m m (# 69)
NON,F m m m (# 69)
NPO,P 6_3/m m c (# 194)
NPT,P m -3 m (# 221)
NSI,C 1 2/m 1 (# 12)
OBW,I 4/m m m (# 139)
OFF,P -6 m 2 (# 187)
OKO,C 1 2/m 1 (# 12)
OSI,I 4/m m m (# 139)
OSO,P 6_2 2 2 (# 180)
OWE,P m m a (# 51)
PAR,C 1 2/c 1 (# 15)
PAU,I m -3 m (# 229)
PCR,C 1 2/m 1 (# 12)
PCS,P 1 2/m 1 (# 10)
PHI,C m c m (# 63)
PON,P c a 2_1 (# 29)
POR,P -4 2_1 c (# 114)
POS,P 4_2/m n m (# 136)
PSI,C m c e (# )
PUN,P b c n (# 60)
PWO,P 1 2_1/c 1 (# 14)
PWW,C 1 2/c 1 (# 15)
RHO,I m -3 m (# 229)
RON,I 4/m c m (# 140)
RRO,P 1 2/c 1 (# 13)
RSN,C m m m (# 65)
RTE,C 1 2/m 1 (# 12)
RTH,C 1 2/m 1 (# 12)
RUT,C 1 2/m 1 (# 12)
RWR,I 4_1/a m d (# 141)
RWY,I m -3 m (# 229)
SAF,I b a m (# 72)
SAO,I -4 m 2 (# 119)
SAS,I 4/m m m (# 139)
SAT,R -3 m (# 166)
SAV,P 4/n m m (# 129)
SBE,I 4/m m m (# 139)
SBN,P 6_3/m m c (# 194)
SBS,P 6_3/m m c (# 194)
SBT,R -3 m (# 166)
SEW,P m m n (# 59)
SFE,P 1 2_1/m 1 (# 11)
SFF,P 1 2_1/m 1 (# 11)
SFG,P m m a (# 51)
SFH,C m c m (# 63)
SFN,C 1 2/m 1 (# 12)
SFO,C 1 2/m 1 (# 12)
SFS,P 1 2_1/m 1 (# 11)
SFV,P -4 m 2 (# 115)
SFW,R -3 m (# 166)
SGT,I 4_1/a m d (# 141)
SIV,C m c m (# 63)
SOD,I m -3 m (# 229)
SOF,C 1 2/c 1 (# 15)
SOR,C m m m (# 65)
SOS,P m n a (# 53)
SSF,P 6/m m m (# 191)
SSO,P 1 2_1/c 1 (# 14)
SSY,P m m n (# 59)
STF,C 1 2/m 1 (# 12)
STI,F m m m (# 69)
STO,P 1 2/m 1 (# 10)
STT,P 1 2_1/n 1 (# 14)
STW,P 6_1 2 2 (# 178)
SVR,C 1 c 1 (# 9)
SVV,C 1 2/m 1 (# 12)
SVY,P 6_3 m c (# 186)
SWY,P 6_3/m m c (# 194)
SZR,C m m m (# 65)
TER,C m c m (# 63)
THO,P m m a (# 51)
TOL,P -3 m 1 (# 164)
TON,C m c m (# 63)
TSC,F m -3 m (# 225)
TUN,C 1 2/m 1 (# 12)
UEI,F m m 2 (# 42)
UFI,I 4/m m m (# 139)
UOE,P 1 2/m 1 (# 10)
UOS,P m m a (# 51)
UOV,A m m 2 (# 38)
UOZ,P 4/n n c (# 126)
USI,C 1 2/m 1 (# 12)
UTL,C 1 2/m 1 (# 12)
UWY,P m m m (# 47)
VET,P -4 (# 81)
VFI,P 6_3/m c m (# 193)
VNI,P 4_2/n c m (# 138)
VSV,I 4_1/a m d (# 141)
WEI,C c c m (# 66)
WEN,P -6 2 m (# 189)
YFI,C m m m (# 65)
YUG,C 1 2/m 1 (# 12)
ZON,P b c m (# 57)
