,doi,Type,Zeolites
0,10.1002/anie.201406344,ador,UTL-PCR
1,10.1002/chem.201402887,ador,UTL-PCR
2,10.1016/j.cattod.2014.08.018,ador,UTL-OKO
3,10.1016/j.cattod.2015.09.033,ador,UTL-PCR
4,10.1016/j.cattod.2015.09.033,ador,UTL-PCS
5,10.1016/j.cattod.2015.09.036,ador,UTL-OKO
6,10.1016/j.cattod.2015.09.036,ador,UTL-PCR
7,10.1016/j.cattod.2015.09.036,ador,UTL-PCS
8,10.1021/jacs.7b00386,ador,UTL-PCR
9,10.1038/nchem.2761,ador,UTL-PCR
10,10.1038/nchem.2761,ador,UTL-PCS
11,10.1038/nmat3455,ador,UTL-OKO
12,10.1002/anie.199500631,competing,RSN-VSV
13,10.1002/asia.201601569,competing,MOR-MWW
14,10.1002/chem.201602419,competing,CTH-LTA
15,10.1002/chem.201602653,competing,ANA-GIS
16,10.1002/chem.201602653,competing,FAU-GIS
17,10.1002/chem.201602653,competing,FAU-SOD
18,10.1002/chem.201602653,competing,GIS-SOD
19,10.1007/s10853-008-2524-2,competing,FAU-GIS
20,10.1007/s10853-008-2524-2,competing,FAU-LTA
21,10.1007/s10934-015-0119-2,competing,AST-BEC
22,10.1007/s11244-008-9136-6,competing,ANA-MOR
23,10.1007/s11244-008-9136-6,competing,FER-MOR
24,10.1016/j.apcata.2006.04.008,competing,MFI-MOR
25,10.1016/j.cattod.2014.05.030,competing,LTL-MER
26,10.1016/j.cej.2013.04.072,competing,DOH-MTT
27,10.1016/j.cej.2017.02.124,competing,ANA-CAN
28,10.1016/j.cej.2017.02.124,competing,ANA-JBW
29,10.1016/j.cej.2017.02.124,competing,ANA-SOD
30,10.1016/j.cej.2017.02.124,competing,CAN-JBW
31,10.1016/j.cej.2017.02.124,competing,CAN-SOD
32,10.1016/j.cej.2017.02.124,competing,FAU-GIS
33,10.1016/j.cej.2017.02.124,competing,FAU-KFI
34,10.1016/j.cej.2017.02.124,competing,FAU-LTA
35,10.1016/j.cej.2017.02.124,competing,FAU-LTA
36,10.1016/j.cej.2017.02.124,competing,FAU-SOD
37,10.1016/j.cej.2017.02.124,competing,GIS-GME
38,10.1016/j.cej.2017.02.124,competing,GIS-LTA
39,10.1016/j.cej.2017.02.124,competing,JBW-SOD
40,10.1016/j.cej.2017.02.124,competing,KFI-LTA
41,10.1016/j.cej.2017.02.124,competing,KFI-SOD
42,10.1016/j.cej.2017.02.124,competing,LTA-SOD
43,10.1016/j.colsurfa.2010.12.034,competing,EDI-MER
44,10.1016/j.colsurfa.2010.12.034,competing,EDI-PHI
45,10.1016/j.colsurfa.2010.12.034,competing,MER-PHI
46,10.1016/j.colsurfa.2010.12.034,competing,MOR-SZR
47,10.1016/j.jcrysgro.2009.08.031,competing,AST-MTN
48,10.1016/j.jpcs.2009.12.046,competing,CHA-MFI
49,10.1016/j.jssc.2008.12.002,competing,MFI-TON
50,10.1016/j.jssc.2008.12.002,competing,MFI-UOS
51,10.1016/j.matchemphys.2009.01.031,competing,BEA-MTW
52,10.1016/j.matchemphys.2015.03.047,competing,EMT-SOD
53,10.1016/j.memsci.2016.09.002,competing,CHA-STT
54,10.1016/j.micromeso.2004.12.022,competing,CAN-JBW
55,10.1016/j.micromeso.2008.10.023,competing,MRE-TON
56,10.1016/j.micromeso.2008.11.030,competing,FAU-GIS
57,10.1016/j.micromeso.2008.11.030,competing,LTA-SOD
58,10.1016/j.micromeso.2009.01.027,competing,FER-MWW
59,10.1016/j.micromeso.2009.05.004,competing,AST-LTA
60,10.1016/j.micromeso.2011.02.028,competing,LTA-SOD
61,10.1016/j.micromeso.2011.04.041,competing,FER-MWW
62,10.1016/j.micromeso.2011.04.041,competing,FER-NON
63,10.1016/j.micromeso.2011.04.041,competing,LTA-MWW
64,10.1016/j.micromeso.2011.08.003,competing,AFX-CHA
65,10.1016/j.micromeso.2012.06.036,competing,BEC-ITV
66,10.1016/j.micromeso.2012.10.004,competing,BEA-CHA
67,10.1016/j.micromeso.2014.03.033,competing,MFI-MTW
68,10.1016/j.micromeso.2014.12.012,competing,CHA-STT
69,10.1016/j.micromeso.2016.01.009,competing,DOH-SGT
70,10.1016/j.micromeso.2016.11.013,competing,MRE-MTW
71,10.1016/j.micromeso.2017.03.033,competing,EUO-ITH
72,10.1016/s0927-6513(96)00098-3,competing,ANA-GIS
73,10.1016/s0927-6513(96)00098-3,competing,EPI-GIS
74,10.1016/s0927-6513(96)00098-3,competing,GIS-MOR
75,10.1016/s1387-1811(00)00347-4,competing,CHA-GME
76,10.1016/s1387-1811(00)00347-4,competing,CHA-LTL
77,10.1016/s1387-1811(00)00347-4,competing,CHA-MER
78,10.1016/s1387-1811(00)00347-4,competing,LTL-MER
79,10.1016/s1387-1811(99)00112-2,competing,CHA-GME
80,10.1021/acs.cgd.7b01000,competing,BEC-STI
81,10.1021/acs.chemmater.5b03579,competing,AST-LTA
82,10.1021/acs.chemmater.6b01000,competing,FAU-LTA
83,10.1021/acs.chemmater.6b02141,competing,AFI-CHA
84,10.1021/acs.chemmater.6b02468,competing,CTH-MFI
85,10.1021/acs.jpcc.5b04446,competing,FAU-GIS
86,10.1021/acs.jpcc.5b04446,competing,FAU-LTA
87,10.1021/acs.jpcc.5b04446,competing,FAU-SOD
88,10.1021/cm001180e,competing,IFR-MWW
89,10.1021/cm048418+,competing,ANA-GIS
90,10.1021/cm048418+,competing,ANA-MOR
91,10.1021/cm048418+,competing,GIS-MOR
92,10.1021/cm048418+,competing,MFI-MOR
93,10.1021/cm049912g,competing,BEA-BEC
94,10.1021/cm0521572,competing,ANA-SOD
95,10.1021/cm0605163,competing,ANA-MAZ
96,10.1021/cm0605163,competing,EON-MAZ
97,10.1021/cm0622248,competing,BEA-ISV
98,10.1021/cm070106u,competing,GIS-SBS
99,10.1021/cm0705284,competing,RTH-SAS
100,10.1021/cm0705284,competing,RTH-STF
101,10.1021/cm0705284,competing,SAS-STF
102,10.1021/cm071790f,competing,BSV-SBN
103,10.1021/cm100030x,competing,CHA-PHI
104,10.1021/cm100030x,competing,LTL-PHI
105,10.1021/cm200105f,competing,AFX-BEA
106,10.1021/cm200105f,competing,AFX-UTL
107,10.1021/cm200105f,competing,STF-UTL
108,10.1021/cm200105f,competing,STT-UTL
109,10.1021/cm303709e,competing,ITW-MTW
110,10.1021/cm504510f,competing,CHA-MOR
111,10.1021/cm504510f,competing,MFI-STF
112,10.1021/cm504510f,competing,MOR-STF
113,10.1021/cm902569g,competing,AFI-APC
114,10.1021/ie5047736,competing,FER-MWW
115,10.1021/ja1095057,competing,BEA-MAZ
116,10.1021/ja1095057,competing,BEA-SOD
117,10.1021/ja1095057,competing,BEA-UFI
118,10.1021/ja1095057,competing,MAZ-MTW
119,10.1021/ja1095057,competing,MER-MTW
120,10.1021/ja1095057,competing,MER-OFF
121,10.1021/ja1095057,competing,MTW-OFF
122,10.1021/ja3105939,competing,ANA-CAN
123,10.1021/ja3105939,competing,ANA-JBW
124,10.1021/ja3105939,competing,CAN-JBW
125,10.1021/ja3105939,competing,EMT-FAU
126,10.1021/ja3105939,competing,FAU-LTA
127,10.1021/ja3105939,competing,GIS-SOD
128,10.1021/ja9094318,competing,ITW-TON
129,10.1021/jp0378438,competing,EUO-IWR
130,10.1021/jp0378438,competing,EUO-IWW
131,10.1021/jp0378438,competing,IWR-IWW
132,10.1038/nature05238,competing,BEC-IWR
133,10.1038/nature05238,competing,ITT-IWR
134,10.1038/nature05238,competing,ITT-IWW
135,10.1038/nature07957,competing,AST-NON
136,10.1038/nature07957,competing,BEA-BEC
137,10.1038/nature07957,competing,ITV-IWR
138,10.1039/c4fd00234b,competing,CHA-MER
139,10.1039/c4ra01383b,competing,MFI-UOV
140,10.1039/c4ta01948b,competing,FAU-GIS
141,10.1039/c4ta01948b,competing,GIS-MOR
142,10.1039/c5ra09942k,competing,BEC-IRR
143,10.1039/c5ta02354h,competing,BEA-CSV
144,10.1039/c5ta02354h,competing,BEA-IWV
145,10.1039/c5ta02354h,competing,BEA-STF
146,10.1039/c5ta02354h,competing,BEA-STW
147,10.1039/c5ta02354h,competing,CSV-IWV
148,10.1039/c5ta02354h,competing,CSV-STF
149,10.1039/c5ta02354h,competing,CSV-STW
150,10.1039/c5ta02354h,competing,IWV-STF
151,10.1039/c5ta02354h,competing,IWV-STW
152,10.1039/c5ta02354h,competing,STF-STW
153,10.1039/c6dt04688f,competing,BEC-STI
154,10.1039/c7dt01087g,competing,AST-IWR
155,10.1039/c7dt01087g,competing,CDO-IWR
156,10.1039/c7dt03751a,competing,BEA-UOV
157,10.1039/c7dt03751a,competing,MFI-UOV
158,10.1039/c7ta10002g,competing,MTW-STW
159,10.1073/pnas.1003009107,competing,ASV-IRY
160,10.1166/jnn.2013.7356,competing,GIS-MOR
161,10.1246/cl.130996,competing,AEI-MFI
162,10.1246/cl.180112,competing,AFI-STO
163,10.1002/anie.201305230,diffusionless,LTA-IFY
164,10.1002/anie.201707452,diffusionless,GME-AFI
165,10.1002/hlca.19740570608,diffusionless,LOS-CAN
166,10.1007/978-3-662-47395-5_3,diffusionless,CDO-FER
167,10.1016/0144-2449(84)90027-7,diffusionless,CHA-SOD
168,10.1016/0144-2449(84)90027-7,diffusionless,EAB-SOD
169,10.1016/0144-2449(92)90003-8,diffusionless,VFI-AET
170,10.1016/0167-2738(90)90475-7,diffusionless,APC-APD
