Zeo1,Zeo2,SOAP,D,mA11,mA12,mA13,mA21,mA22,mA23,mA31,mA32,mA33,mB11,mB12,mB13,mB21,mB22,mB23,mB31,mB32,mB33
ABW,ACO,0.1136,0.0000,1,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1
ABW,AEI,0.2634,0.0507,-2,0,0,0,-2,-1,0,-1,1,1,0,0,0,1,0,0,0,1
ABW,AEL,0.1486,0.2207,1,0,0,0,5,0,0,0,1,1,0,0,0,1,0,0,0,1
ABW,AEN,0.1166,0.1808,-2,0,0,0,-2,-1,0,-1,1,1,0,0,0,1,0,0,0,1
ABW,AET,0.2233,0.1122,3,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,1
ABW,AFG,0.0893,0.0685,1,0,0,0,3,0,0,0,2,1,0,0,0,1,0,0,0,1
ABW,AFI,0.2446,0.1539,1,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,1
ABW,AFN,0.1069,0.0904,0,-2,0,-1,0,0,0,1,-2,1,0,0,0,1,0,0,0,1
ABW,AFO,0.1354,0.1104,1,0,0,0,5,0,0,0,1,1,0,0,0,1,0,0,0,1
ABW,AFR,0.3117,0.1177,-2,0,0,0,-2,0,0,0,1,1,0,0,0,1,0,0,0,1
ABW,AFS,0.3612,0.2270,-1,-1,-1,1,-1,0,-1,-2,2,1,0,0,0,1,0,0,0,1
ABW,AFT,0.2245,0.1541,1,0,0,0,3,0,0,0,3,1,0,0,0,1,0,0,0,1
ABW,AFV,0.2045,0.0353,1,0,0,0,5,0,0,0,3,1,0,0,0,2,0,0,0,2
ABW,AFX,0.2133,0.0587,1,0,0,0,3,0,0,0,2,1,0,0,0,1,0,0,0,1
ABW,AFY,0.3824,0.2237,1,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1
ABW,AHT,0.1270,0.0000,1,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,1
